V_adc_value,V_real_value,H_adc_value,H_real_value
0,0.0,-1,-0.00390625
12,0.046875,-1,-0.00390625
-44,-0.171875,25,0.09765625
-75,-0.29296875,-7,-0.02734375
36,0.14062500000000003,4,0.015625
3,0.01171875,4,0.015625
-6,-0.0234375,-1,-0.00390625
12,0.046875,-1,-0.00390625
36,0.14062500000000003,0,0.0
34,0.1328125,0,0.0
4,0.015625,1,0.00390625
-40,-0.15625,0,0.0
-33,-0.12890625,0,0.0
-9,-0.03515625000000001,1,0.00390625
-14,-0.0546875,0,0.0
-10,-0.0390625,0,0.0
-6,-0.0234375,0,0.0
5,0.01953125,0,0.0
11,0.04296875,1,0.00390625
4,0.015625,0,0.0
0,0.0,0,0.0
1,0.00390625,-21,-0.08203125
-4,-0.015625,15,0.05859375
-28,-0.109375,3,0.01171875
6,0.0234375,-4,-0.015625
-44,-0.171875,2,0.0078125
-37,-0.14453125,-15,-0.05859375
28,0.109375,4,0.015625
26,0.10156250000000001,5,0.01953125
14,0.0546875,0,0.0
6,0.0234375,-2,-0.0078125
-11,-0.04296875,1,0.00390625
-23,-0.08984375,1,0.00390625
-27,-0.10546875,1,0.00390625
-14,-0.0546875,-1,-0.00390625
2,0.0078125,1,0.00390625
4,0.015625,-1,-0.00390625
11,0.04296875,0,0.0
4,0.015625,0,0.0
-1,-0.00390625,1,0.00390625
0,0.0,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-2,-0.0078125,-4,-0.015625
48,0.1875,42,0.1640625
4,0.015625,10,0.0390625
11,0.04296875,21,0.08203125
-3,-0.01171875,5,0.01953125
26,0.10156250000000001,-6,-0.0234375
24,0.09375,-1,-0.00390625
-4,-0.015625,0,0.0
-18,-0.07031250000000001,1,0.00390625
-24,-0.09375,0,0.0
-12,-0.046875,1,0.00390625
-10,-0.0390625,-1,-0.00390625
-5,-0.01953125,0,0.0
9,0.03515625000000001,-1,-0.00390625
6,0.0234375,1,0.00390625
1,0.00390625,0,0.0
0,0.0,0,0.0
-3,-0.01171875,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
0,0.0,1,0.00390625
38,0.1484375,0,0.0
-38,-0.1484375,-6,-0.0234375
-19,-0.07421875,4,0.015625
-6,-0.0234375,2,0.0078125
11,0.04296875,0,0.0
14,0.0546875,0,0.0
4,0.015625,0,0.0
-8,-0.03125,0,0.0
-18,-0.07031250000000001,0,0.0
-23,-0.08984375,0,0.0
-20,-0.078125,0,0.0
-12,-0.046875,0,0.0
9,0.03515625000000001,0,0.0
8,0.03125,0,0.0
5,0.01953125,0,0.0
2,0.0078125,0,0.0
-2,-0.0078125,0,0.0
-3,-0.01171875,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,20,0.078125
-196,-0.765625,199,0.77734375
-69,-0.26953125,-144,-0.5625000000000001
69,0.26953125,-20,-0.078125
6,0.0234375,46,0.1796875
37,0.14453125,9,0.03515625000000001
34,0.1328125,-11,-0.04296875
0,0.0,-5,-0.01953125
-30,-0.1171875,6,0.0234375
-43,-0.16796875,2,0.0078125
-32,-0.125,-1,-0.00390625
-22,-0.0859375,-1,-0.00390625
3,0.01171875,3,0.01171875
19,0.07421875,-1,-0.00390625
13,0.05078125000000001,0,0.0
4,0.015625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-3,-0.01171875,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
0,0.0,0,0.0
1,0.00390625,0,0.0
-10,-0.0390625,37,0.14453125
68,0.265625,-43,-0.16796875
24,0.09375,25,0.09765625
55,0.21484375,35,0.13671875
-34,-0.1328125,-5,-0.01953125
81,0.31640625,-12,-0.046875
-12,-0.046875,3,0.01171875
23,0.08984375,4,0.015625
-3,-0.01171875,-1,-0.00390625
-27,-0.10546875,-1,-0.00390625
-30,-0.1171875,0,0.0
-19,-0.07421875,1,0.00390625
-17,-0.06640625,0,0.0
-18,-0.07031250000000001,-2,-0.0078125
18,0.07031250000000001,2,0.0078125
15,0.05859375,0,0.0
5,0.01953125,0,0.0
1,0.00390625,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-91,-0.35546875,-150,-0.5859375
-5,-0.01953125,66,0.2578125
42,0.1640625,5,0.01953125
15,0.05859375,-11,-0.04296875
0,0.0,7,0.02734375
2,0.0078125,-1,-0.00390625
10,0.0390625,-3,-0.01171875
35,0.13671875,1,0.00390625
9,0.03515625000000001,1,0.00390625
-11,-0.04296875,0,0.0
-32,-0.125,0,0.0
-25,-0.09765625,0,0.0
-30,-0.1171875,1,0.00390625
-8,-0.03125,-1,-0.00390625
21,0.08203125,0,0.0
14,0.0546875,1,0.00390625
4,0.015625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-28,-0.109375,54,0.2109375
-124,-0.484375,-9,-0.03515625000000001
-30,-0.1171875,-15,-0.05859375
8,0.03125,5,0.01953125
-7,-0.02734375,3,0.01171875
18,0.07031250000000001,-2,-0.0078125
12,0.046875,0,0.0
15,0.05859375,1,0.00390625
-5,-0.01953125,1,0.00390625
-21,-0.08203125,0,0.0
-25,-0.09765625,0,0.0
-9,-0.03515625000000001,1,0.00390625
-12,-0.046875,2,0.0078125
4,0.015625,0,0.0
10,0.0390625,0,0.0
7,0.02734375,0,0.0
1,0.00390625,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,3,0.01171875
24,0.09375,-1,-0.00390625
-18,-0.07031250000000001,5,0.01953125
32,0.125,5,0.01953125
2,0.0078125,-3,-0.01171875
-9,-0.03515625000000001,-2,-0.0078125
0,0.0,1,0.00390625
9,0.03515625000000001,0,0.0
-4,-0.015625,0,0.0
15,0.05859375,-1,-0.00390625
-3,-0.01171875,0,0.0
-8,-0.03125,1,0.00390625
-9,-0.03515625000000001,1,0.00390625
-11,-0.04296875,0,0.0
-6,-0.0234375,0,0.0
-7,-0.02734375,1,0.00390625
